Source                Destination           Protocol TTL
208.0.72.57           10.22.1.3             TCP      128
208.0.72.57           10.22.1.3             TCP      128
208.0.72.57           10.22.1.3             TCP      128
208.0.72.57           10.22.1.3             TCP      128
208.0.72.57           10.22.1.3             TCP      128
208.0.72.57           10.22.1.3             TCP      128
208.0.72.57           10.22.1.3             TCP      128
208.0.72.57           10.22.1.3             TCP      128
208.0.72.57           10.22.1.3             TCP      128
208.0.72.57           10.22.1.3             TCP      128
208.0.72.57           10.22.1.3             TCP      128
208.0.72.57           10.22.1.3             TCP      128
208.0.72.57           10.22.1.3             TCP      128
208.0.72.57           10.22.1.3             TCP      128
208.0.72.57           10.22.1.3             TCP      128
208.0.72.57           10.22.1.3             TCP      128
208.0.72.57           10.22.1.3             TCP      128
208.0.72.57           10.22.1.3             TCP      128
208.0.72.57           10.22.1.3             TCP      128
208.0.72.57           10.22.1.3             TCP      128
208.0.72.63           10.22.1.3             TCP      128
208.0.72.63           10.22.1.3             TCP      128
208.0.72.63           10.22.1.3             TCP      128
208.0.72.63           10.22.1.3             TCP      128
208.0.72.63           10.22.1.3             TCP      128
208.0.72.63           10.22.1.3             TCP      128
208.0.72.63           10.22.1.3             TCP      128
208.0.72.63           10.22.1.3             TCP      128
208.0.72.63           10.22.1.3             TCP      128
208.0.72.63           10.22.1.3             TCP      128
208.0.72.63           10.22.1.3             TCP      128
208.0.72.63           10.22.1.3             TCP      128
208.0.72.63           10.22.1.3             TCP      128
208.0.72.63           10.22.1.3             TCP      128
208.0.72.63           10.22.1.3             TCP      128
208.0.72.63           10.22.1.3             TCP      128
208.0.72.63           10.22.1.3             TCP      128
208.0.72.63           10.22.1.3             TCP      128
208.0.72.63           10.22.1.3             TCP      128
208.0.72.63           10.22.1.3             TCP      128
222.63.218.54         10.22.1.3             TCP      128
222.63.218.54         10.22.1.3             TCP      128
222.63.218.54         10.22.1.3             TCP      128
222.63.218.54         10.22.1.3             TCP      128
222.63.218.54         10.22.1.3             TCP      128
222.63.218.54         10.22.1.3             TCP      128
222.63.218.54         10.22.1.3             TCP      128
222.63.218.54         10.22.1.3             TCP      128
222.63.218.54         10.22.1.3             TCP      128
222.63.218.54         10.22.1.3             TCP      128
222.63.218.54         10.22.1.3             TCP      128
222.63.218.54         10.22.1.3             TCP      128
222.63.218.54         10.22.1.3             TCP      128
